"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19394.2337451815","20523.5215739213","21196.2661572431","21635.7507111965","22540.043350281","23587.9384875868","24475.6212256096","25350.5991044428","26577.1066343715","27547.9455353954","29301.086978103","29725.4273319126","31119.209993289","31987.2205727444","33649.4133507071","34866.8404371477","37455.5102148912","39150.8772830426","41058.6305391381","40704.4097144008","41906.7295926896","44237.9603165389","46233.3962433905","47721.7372782653","48615.9896103749","49419.3300615875","50077.8326117968","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.43398864152","5558.81841314857","4334.43366410288","3361.03549662053","2719.34022718708","2420.44486439699","2471.58587927039","2634.15863088586","2901.35167222536","3136.09389310516","3534.32914766215","3942.08488219485","4393.96719931842","4945.90791637216","5551.44884183019","7169.15043103855","9830.16260573868","12477.3846859443","13799.7861400733","14900.5086642522","15627.6056198817","15754.1523626148","16180.8871503048","17171.7613655507","17607.6228933646","17779.7737304396","17253.2560300633","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702.879896737916","745.141885851432","753.630760095803","709.595742548928","685.046504076847","634.177689906036","586.320225009861","580.057212740667","606.831741928996","600.902030251972","597.71818925313","609.144754217792","628.199259149723","613.630038895316","639.874227218527","644.786602674403","677.382665500247","704.439858877756","729.462783308925","735.701234336554","748.380657602419","771.509423734821","793.080192119074","818.28521331237","846.058938786803","796.994415365492","777.956501188138","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18757.8052190019","19664.2430672593","20337.6776840699","20540.8822422029","21588.3411808379","22516.9620924786","22892.2191090003","23910.8591972737","24539.0480972075","25642.2616549851","27966.9388039373","29024.907963368","30482.7735691881","31054.6435626054","32260.7728984623","33332.3527523554","35406.6227952578","36858.1933154248","38133.5122346365","38047.677270766","40129.426334665","41248.6927004621","42354.6205551755","43452.2475783709","44794.7728427233","45608.4292926868","46383.2369625481","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.37674549935","984.31366501525","1001.08761089962","1047.40474082973","1054.55141005154","1104.63702603924","1137.1082750262","1186.41688112379","1210.44911903842","1256.96239341407","1320.88957456507","1380.62022882486","1422.9540625471","1456.36454516645","1516.43028712892","1545.69826491077","1608.7728866525","1701.20707313632","1768.8035979427","1773.05329769007","1781.98706633659","1820.89469315629","1890.02901987697","2002.05140862019","2107.9811663876","2115.79559915728","2168.210406674","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530.78551538395","582.396506062652","581.19457049279","599.161615111533","603.279469596317","633.432387123581","696.514110245258","732.508452325454","772.606587559163","819.065020247636","829.052529199877","878.544944772126","904.471674806279","966.074672936388","1007.17267166096","1096.68878625083","1165.6970915345","1226.8814023711","1302.20539140432","1310.68563112443","1395.96036598524","1472.71619137921","1549.47961063305","1571.26833476164","1617.7164461317","1651.23267324752","1720.12158497548","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832.434081719866","869.33532826983","916.518574666377","961.161710589347","997.971592598519","1048.18420594648","1092.01768715192","1136.35459186552","1183.37670098855","1232.43447266784","1301.46328479352","1372.36251386772","1420.4312516704","1491.023591885","1586.18216794146","1718.40287298916","1864.19450265239","2024.23209501687","2163.55442727762","2264.87149858925","2393.31583163503","2570.85014525476","2756.44346659312","2934.64435240001","3131.78966472326","3335.33725502166","3580.69412750204","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5187.75319639011","4956.56988355838","4751.63208281089","4831.06046795682","5040.65854231144","5316.59712019477","5624.81783803286","5684.67175264935","6007.1681128465","5751.47083212423","6370.55793273078","6954.20980900296","7766.26073753413","8379.28178646099","9177.31468720736","10275.0499268315","11377.855640539","12897.9538641487","14395.6976937362","14132.9916285408","14962.9848631188","15676.0532222803","16208.2370411198","16646.7165018317","17406.0684737004","18248.8318642722","19199.0711464656","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22969.1779407432","25682.5893048268","27311.6169963334","30787.5084928975","30600.8106782312","31654.0010780107","32688.5503782062","33339.456117843","34235.329285775","34952.8830617314","36053.1051263563","36008.8593915556","35945.5119082327","36696.2758930915","37851.8264381848","38931.4352378452","39636.4114753061","40769.791020702","41047.1608300969","39888.4681932721","40230.2310964385","40696.1509703133","42208.6530529528","44657.7959233826","46734.524149471","47333.8480296294","","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15693.8358583275","15253.6396498941","14721.5988636308","14837.7632034614","15362.7265529384","16121.2388582421","16889.4112974542","17338.4500047521","18157.7382495077","19516.3729146263","20487.3431803414","21132.3288410747","21607.8066527663","21305.8580707545","21620.7272838945","22602.9564956975","23415.7117243909","23923.7087148224","23392.2861587167","22191.1746033126","22431.9299506065","22674.7278158328","23453.6354886308","23506.7872687025","23494.5070281201","23072.8147057111","23173.0333014349","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","948.696897081294","1201.91923707043","2351.32245335926","3237.95163118834","3785.65711946086","4202.9000922476","4525.82188364019","4742.09784737393","5114.29675178388","5348.65900789034","5842.69348840807","6453.16124679048","7384.14368427716","8159.89470055225","9001.14696832262","9007.30399928707","9317.07051965154","9893.37822998914","10170.4157169524","10821.2053403345","11211.4594569286","11687.0707484915","12074.7523580664","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5399.40549943281","5509.47227527568","5083.12732727634","4797.75750406995","4331.65317196854","3974.93585074002","4174.75447936756","4750.37793365688","5230.10816100027","5513.83348011603","5994.55717304","6453.90521760295","6927.55447043685","7616.45884448997","8781.6363143367","9984.19241709668","11389.5514963062","12756.6344502337","14383.166847167","14553.7955127463","15906.7560805789","17166.6956434719","17801.918428925","18271.7538946538","18902.3559451603","18344.8161284303","18060.4129454348","",
