iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
COG	Congo	342000	219.9616	0	Africa	1	25	French	.	.	French	Kituba	Kongo	.	Lingala	.	.	.	FRA	.	.	.	.	.	.
COL	Colombia	1141748	401.9008	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
COM	Comoros	1862	16.23019	0	Africa	1	5	Arabic	French	.	Comorian	.	.	.	French	.	.	.	FRA	.	.	.	.	.	.
CPV	Cape Verde	4033	23.88625	0	Africa	1	15	Portuguese	.	.	Portuguese	Kabuverdianu	.	.	.	.	.	.	PRT	.	.	.	.	.	.
CRI	Costa Rica	51076	85.00456	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
CUB	Cuba	110861	125.2343	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	USA	.	.
CYP	Cyprus	9251	36.17663	0	Europe	1	25	Greek	Turkish	.	Greek	Turkish	.	.	.	.	.	.	GBR	TUR	GRC	.	.	.	.
CZE	Czech Republic	78864	105.6266	1	Europe	1	25	Czech	.	.	Czech	.	.	.	.	.	.	.	AUT	.	.	.	HUN	.	.
DEU	Germany	357325	224.8358	0	Europe	0	25	German	.	.	German	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DEU	Germany	357325	224.8358	0	Europe	1	25	German	.	.	German	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DJI	Djibouti	23200	57.28986	0	Africa	1	5	French	Arabic	.	Afar	Somali	.	.	Arabic	French	.	.	FRA	.	.	.	.	.	.
DMA	Dominica	751	10.30751	0	America	1	22	English	French	.	English	Lesser Antillean Creole French	.	.	.	.	.	.	GBR	.	.	.	FRA	.	.
DNK	Denmark	43094	78.08043	0	Europe	1	25	Danish	.	.	Danish	.	.	.	.	.	.	.	.	.	.	.	.	.	.
DOM	Dominican Republic	48734	83.03283	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	FRA	HTI	.	.	ESP	.	.
DZA	Algeria	2381741	580.4717	0	Africa	1	25	Arabic	French	.	Arabic	French	.	.	Kabyle	.	.	.	FRA	.	.	.	.	.	.
ECU	Ecuador	275716	197.4989	0	America	1	25	Spanish	.	.	Spanish	Quichua	.	.	.	.	.	.	ESP	.	.	.	.	.	.
EGY	Egypt	1001449	376.3988	0	Africa	1	25	Arabic	.	.	Arabic	English	.	.	.	.	.	.	GBR	TUR	.	.	.	.	.
ERI	Eritrea	121320	131.0087	0	Africa	1	18	English	.	.	Tigrigna	Tigré	English	Arabic	Afar	.	.	.	GBR	.	.	.	ITA	ETH	.
ESP	Spain	505954	267.5404	0	Europe	1	25	Spanish	.	.	Spanish	Catalan	.	.	Galician	.	.	.	.	.	.	.	.	.	.
EST	Estonia	45227	79.98945	0	Europe	1	25	Estonian	.	.	Estonian	.	.	.	.	.	.	.	RUS	SWE	.	.	.	.	.
ETH	Ethiopia	1127127	399.3192	1	Africa	1	25	Amharic	Tigrigna	English	Amharic	Oromo	.	.	.	.	.	.	.	.	.	.	ITA	.	.
FIN	Finland	336593	218.2159	0	Europe	1	25	Swedish	.	.	Finnish	.	.	.	.	.	.	.	RUS	SWE	.	.	.	.	.
FJI	Fiji	18333	50.92729	0	Pacific	1	22	English	.	.	English	Fijian	Hindustani Fijian	.	.	.	.	.	GBR	.	.	.	.	.	.
FRA	France	547026	278.1876	0	Europe	1	25	French	.	.	French	.	.	.	.	.	.	.	.	.	.	.	.	.	.
